no abuse report,nums/length username,fullname words,nums/length fullname,name==username,description length,external URL,private,#posts,#followers,#follows
1,0.33,1,0.33,1,30,0,1,35,488,604
1,0,5,0,0,64,0,1,3,35,6
1,0,2,0,0,82,0,1,319,328,668
1,0,1,0,0,143,0,1,273,14890,7369
1,0.5,1,0,0,76,0,1,6,225,356
1,0,1,0,0,0,0,1,6,362,424
1,0,1,0,0,132,0,1,9,213,254
1,0,2,0,0,0,0,1,19,552,521
1,0,2,0,0,96,0,1,17,122,143
1,0,1,0,0,78,0,1,9,834,358
1,0,1,0,0,0,0,1,53,229,492
1,0.14,1,0,0,78,1,1,97,1913,436
1,0.14,2,0,0,61,0,1,17,200,437
1,0.33,2,0,0,45,0,1,8,130,622
0,0.05,1,0,0,0,0,0,0,0,2
1,0.27,1,0,0,0,0,0,0,45,64
0,0.07,1,0,0,0,0,0,0,19,30
0,0,1,0,1,0,0,0,0,69,694
0,0,2,0,0,0,0,0,0,22,82
0,0.22,0,0,0,0,0,0,0,31,124
0,0,3,0,0,0,0,0,0,9,25
0,0,1,0,1,0,0,0,0,69,694
0,0,1,0,0,0,0,0,0,23,33
0,0.62,1,0.4,0,0,0,0,1,17,34
0,0,2,0,0,14,0,0,0,46,38
0,0.42,1,0,0,0,0,0,0,16,2
0,0.62,1,0.4,0,0,0,0,0,0,18
0,0.5,1,0.4,0,0,0,0,0,21,1
0,0.31,0,0,0,0,0,0,0,52,15
0,0.27,1,0,0,0,0,0,1,24,2
0,0.5,2,0,0,0,0,0,0,13,22
0,0.75,1,1,0,0,0,0,0,227,353
1,0.43,1,0,0,0,0,0,2,10,24
0,0.25,1,0,0,0,0,0,0,46,18
